fecha	hora	precio_md
2015-01-26	15	61.64
2015-01-26	16	60.76
2015-01-26	17	62.75
2015-01-26	18	65.78
2015-01-26	19	69
2015-01-26	20	71.15
2015-01-26	21	69.7
2015-01-26	22	67.01
2015-01-26	23	63
2015-01-26	24	57.59
2015-01-27	1	52.1
2015-01-27	2	43.52
2015-01-27	3	41.1
2015-01-27	4	40
2015-01-27	5	39.8
2015-01-27	6	40.1
2015-01-27	7	46.25
2015-01-27	8	61.89
2015-01-27	9	66.15
2015-01-27	10	69.49
2015-01-27	11	70.52
2015-01-27	12	67.7
2015-01-27	13	63.89
2015-01-27	14	60.77
2015-01-27	15	53.38
2015-01-27	16	49.93
2015-01-27	17	54.12
2015-01-27	18	57.3
2015-01-27	19	63.29
2015-01-27	20	66
2015-01-27	21	64.16
2015-01-27	22	61
2015-01-27	23	56.18
2015-01-27	24	45.2
2015-01-28	1	42.74
2015-01-28	2	40.38
2015-01-28	3	39.5
2015-01-28	4	39.5
2015-01-28	5	39.68
2015-01-28	6	40.1
2015-01-28	7	44.93
2015-01-28	8	62
2015-01-28	9	68.03
2015-01-28	10	70.64
2015-01-28	11	72.52
2015-01-28	12	70.2
2015-01-28	13	68.03
2015-01-28	14	65
2015-01-28	15	59.82
2015-01-28	16	58.38
2015-01-28	17	59.89
2015-01-28	18	63
2015-01-28	19	67.1
2015-01-28	20	69.1
2015-01-28	21	68.2
2015-01-28	22	63.1
2015-01-28	23	58.18
2015-01-28	24	48.75
2015-01-29	1	45.28
2015-01-29	2	42.67
2015-01-29	3	40.09
2015-01-29	4	39.1
2015-01-29	5	38.4
2015-01-29	6	38.5
2015-01-29	7	44.52
2015-01-29	8	49.69
2015-01-29	9	54.55
2015-01-29	10	59.82
2015-01-29	11	61.44
2015-01-29	12	56.01
2015-01-29	13	48.77
2015-01-29	14	41.45
2015-01-29	15	37.63
2015-01-29	16	34.52
2015-01-29	17	37.4
2015-01-29	18	39.1
2015-01-29	19	49.19
2015-01-29	20	52
2015-01-29	21	47.87
2015-01-29	22	39.9
2015-01-29	23	36.07
2015-01-29	24	30.52
2015-01-30	1	20
2015-01-30	2	7.88
2015-01-30	3	7.04
2015-01-30	4	7.04
2015-01-30	5	5
2015-01-30	6	7.04
2015-01-30	7	25
2015-01-30	8	34.31
2015-01-30	9	42.59
2015-01-30	10	49.02
2015-01-30	11	52.01
2015-01-30	12	50.01
2015-01-30	13	47.45
2015-01-30	14	42.59
2015-01-30	15	34.48
2015-01-30	16	33.8
2015-01-30	17	36
2015-01-30	18	42
2015-01-30	19	50
2015-01-30	20	52.01
2015-01-30	21	49
2015-01-30	22	42.94
2015-01-30	23	38.4
2015-01-30	24	29.93
2015-01-31	1	5
2015-01-31	2	4
2015-01-31	3	4
2015-01-31	4	4
2015-01-31	5	4
2015-01-31	6	4
